,latitude,longitude,elevation,pm25,no2,temp,humidity,wind_speed,wind_deg,wind_u,wind_v,stagnation,upwind_fire_intensity,upwind_fire_count,hour_of_day,day_of_week,month,weekend,hour_sin,hour_cos,dayofyear_sin,dayofyear_cos,season_winter,season_summer,season_monsoon,season_post_monsoon,upwind_fire_transport_index,pm25_lag_1,pm25_lag_2,pm25_lag_3,pm25_lag_24,no2_lag_1,no2_lag_2,no2_lag_3,no2_lag_24,pm25_roll_mean_6,pm25_roll_std_6,pm25_roll_mean_12,pm25_roll_std_12,pm25_roll_mean_24,pm25_roll_std_24,no2_roll_mean_6,no2_roll_std_6,no2_roll_mean_12,no2_roll_std_12,no2_roll_mean_24,no2_roll_std_24
wind_v,0.07671430899665127,0.07945471023815869,,-0.06359442957957223,-0.04895149831171106,0.05766566920961481,0.14875213143065322,-0.13018656428742123,-0.7087094443022324,-0.17494859648995567,1.0,0.14507934871043296,-0.0692355396788369,-0.0737346180832889,0.01782218631157676,-0.019179025913800524,0.0422949638389652,-0.030310211094597774,-0.07799154187777443,0.17259870920259365,-0.07246237986084476,-0.09478612453421462,-0.08286629605701169,0.003718306947665476,0.09841999644471018,-0.02290828424846309,-0.076933788629793,-0.061852704614125474,-0.06152308741602497,-0.06182624525892997,-0.037445027684410256,-0.04169715455077826,-0.0363052884328997,-0.033452049920311325,-0.049430221652945375,-0.06453458495777273,-0.01712386360722538,-0.06692381410805985,-0.015468642748973426,-0.06960337195828552,-0.0191048534020815,-0.03905919263999508,-0.02630251354905517,-0.038452496069074374,-0.02635156367393558,-0.05725974818181227,-0.04119394062247475
stagnation,0.1336171365187567,0.0211502256660606,,0.19250556915105763,0.1557289893277288,-0.4833679038269228,0.4415641359182244,-0.7394089905622971,-0.1331391414806224,0.0471879399463047,0.14507934871043296,1.0,-0.050436279705751354,-0.0063687635567517475,0.21913608151855296,-0.016792511005977354,0.14577224792787652,0.002558539275715713,-0.44899194040963847,0.32878717798171553,-0.17989759142689687,0.24887588394016075,0.1298186404311175,-0.19627032905206152,-0.09581598131137518,0.1538371772184669,-0.09714851013243328,0.18198693233003985,0.1712199312367848,0.16251160501361,0.16387856505255846,0.15870796459281647,0.15477927399155567,0.14707244241229253,0.13761071982856934,0.17496162860082345,0.06507359947569595,0.1609483588631534,0.11681986036854063,0.14701564055624256,0.10411241944653632,0.15397707418201853,0.07210070337531857,0.13722233291750452,0.1022947882975017,0.09375855624966582,0.06700489034098428
upwind_fire_intensity,0.15268675048149682,-0.06612956275920777,,0.026225693733188817,-0.027463880910387324,0.005590939307827672,-0.15300898737193697,0.04560022904139741,0.09776237789820105,0.08845979201243805,-0.0692355396788369,-0.050436279705751354,1.0,0.7902877366255242,-0.01600568168208417,0.025802940681104888,0.0769943946625476,0.02664965656556997,0.038083144628326314,-0.03210063868493196,-0.04566472733694519,0.04401738924449003,-0.08216822927862896,0.01887979764487538,-0.10623733564303646,0.1733352505425994,0.927515259393544,0.02582362892948916,0.025887431299302308,0.02590939763429403,0.023047713584186332,-0.027929982448636505,-0.027492522034169645,-0.026741922851750838,-0.026151819057673838,0.026760982530057605,0.025329398315089048,0.027804707459882512,0.026683862430596922,0.03186211163861119,0.03187008156636248,-0.027868773200941797,-0.029067613578428096,-0.026600049767288827,-0.031109370246108672,-0.02572939779926487,-0.03410394413256025
upwind_fire_count,0.18947006348150258,-0.04148138950406797,,0.05038988129524491,-0.019188493351702623,-0.029488457176587712,-0.18583531049459023,-0.011761029513761507,0.1229273886133949,0.104103820879615,-0.0737346180832889,-0.0063687635567517475,0.7902877366255242,1.0,-0.018789358790802756,0.019679228606276113,0.11625785642254345,0.0179651049905744,0.03638273695860195,-0.018395895047605935,-0.0686848700645695,0.0891685134186148,-0.09677907091563584,0.010469738145611727,-0.15415066293061164,0.24510413136764814,0.690021037435317,0.04985683356650855,0.049296236681685784,0.048281040685203266,0.043999865424227104,-0.018822673549996963,-0.01804831581973889,-0.0171527758936081,-0.020610094525441953,0.04995806552334246,0.03647194761019996,0.04813292057528971,0.03842658215989568,0.0501878440306684,0.045708301590542094,-0.018304877648204893,-0.023312441746052407,-0.017526454571362725,-0.02492927517417549,-0.01920457250693849,-0.028948013981512994
hour_of_day,-0.0002211910277302816,0.0023054303463626675,,0.043537382886868266,0.06511294897545063,-0.1556568403139104,0.16039740436708302,-0.04196279020713805,-0.016244925057734807,0.04688729135474592,0.01782218631157676,0.21913608151855296,-0.01600568168208417,-0.018789358790802756,1.0,-0.01006162518189867,-0.0005736774557390639,-0.010942166154220716,-0.7759852382241911,-0.10256913693088185,0.0009142978221995659,-0.002435100421435653,-0.002127971302576686,0.0003367893967426789,0.004692088524119528,-0.003047062544860631,-0.019276611579118554,0.04630663382600526,0.044418862795313395,0.03736764582592202,0.04576642484315967,0.07423831663726724,0.08076118167949309,0.08185057222769941,0.06637533032874258,0.034970320257410564,0.052890374532249367,-0.013757053317209987,0.055475884360381894,-0.0001427248667434046,0.003442200166025363,0.07736792228969763,0.06802117637875606,0.023561304586447205,0.07275855348320881,-0.0007894361427016823,0.004920837791150092
day_of_week,-0.01135550731309236,0.0037900919909998098,,-0.018502207758595023,-0.014219241692336798,0.019351380947055942,-0.010883514335667178,0.013338248125672697,-0.0017281730646869426,-0.01915833874877593,-0.019179025913800524,-0.016792511005977354,0.025802940681104888,0.019679228606276113,-0.01006162518189867,1.0,-0.005966032093127159,0.7856786999550422,0.00953222312709719,-0.0046959887792945324,-0.0005900812078528721,-0.0168248669531699,-0.008266385833946649,0.015082146099784074,0.0010297019198225944,-0.006981824870384178,0.025105067475233517,-0.017970537145162398,-0.017324690308638847,-0.016691865477794998,-0.010611272940829693,-0.013929160617015221,-0.013586631156430043,-0.013241013138386798,-0.0025339280693437312,-0.01787488432146564,-0.010638308594738948,-0.01746715086038043,-0.0159028308435112,-0.01545503176590614,-0.01881236678381427,-0.01403944372079105,-0.01740277878127901,-0.013276892747868222,-0.016944080304233666,-0.00963760171436956,-0.007075619533027774
month,0.01882290941663432,0.0178036873679199,,0.07755810971127897,0.007573422114121018,-0.0601743496755076,0.19096881813254554,-0.1611240056810793,-0.014665626614991,0.01129129655128741,0.0422949638389652,0.14577224792787652,0.0769943946625476,0.11625785642254345,-0.0005736774557390639,-0.005966032093127159,1.0,0.007215696520774724,0.0010172432818401288,0.0012664313391431393,-0.7533953001471387,0.17188461634045504,-0.14951221679531648,-0.47524065753000005,0.08314189687087835,0.5069443648132752,0.052642648832046605,0.07691236190801963,0.0763061885648744,0.07569402777942894,0.06493054913544018,0.007507355853533084,0.00743782615371067,0.00738590249036581,0.007402223272084125,0.07852314919372454,-0.0006739177048759387,0.07882702407214903,0.005483591511906408,0.07793457005753944,0.005122309200834781,0.007796356862738527,0.0205048522934555,0.008050882144317019,0.03140273424325405,0.008135693013175557,0.035061127173541574
weekend,-0.007739359100546026,0.002140723569472802,,-0.007648589417157988,-0.011315410418558453,0.0034120351692485677,-0.0041312657223619795,-0.01105981673789716,0.010694276383634045,-0.0074191833860233715,-0.030310211094597774,0.002558539275715713,0.02664965656556997,0.0179651049905744,-0.010942166154220716,0.7856786999550422,0.007215696520774724,1.0,0.009574348301956978,-0.002876266715335751,-0.013914016541585623,-0.0022819097284478215,-0.00688366818297795,-0.004255363953728807,-0.003995128066290549,0.014921939026351952,0.028819551446067775,-0.007537621732679409,-0.0074919563664957185,-0.007471148720638308,-0.013245225504617581,-0.011581591824969957,-0.011769291519478954,-0.011965192123570442,-0.006936851024900624,-0.007986511966769505,-0.009985004013547362,-0.008750975493490158,-0.014155347195014307,-0.010348370565936354,-0.014778156023843964,-0.01233555561918901,-0.02261322424544379,-0.01280027621902458,-0.021511826655400666,-0.011560882962361666,-0.012116196826165557
hour_sin,-6.070002844548062e-05,-0.0023271870442621995,,-0.0671320366596124,-0.1050615334918834,0.30720516124148217,-0.3377354763490682,0.10583442829336136,0.06734094951148172,-0.04432096252078021,-0.07799154187777443,-0.44899194040963847,0.038083144628326314,0.03638273695860195,-0.7759852382241911,0.00953222312709719,0.0010172432818401288,0.009574348301956978,1.0,0.0003854457205474327,-0.002371025704329747,0.0025758792301170666,0.0015427567635049307,-0.0006216541808337976,-0.004449862792437855,0.0036434642600602692,0.04785708716444825,-0.05875025501643145,-0.046371031711758826,-0.030798956156783096,-0.07037030463565844,-0.1129465927837914,-0.11321857141596058,-0.10579871000617296,-0.10734295982513009,-0.03625353874038817,-0.05221656167028965,0.010562373095030587,-0.06308304725689087,-4.691370157201925e-06,-0.004385915821341403,-0.10412072998081644,-0.07873920142439478,-0.03965283105385404,-0.09805467739333784,0.0010871615166021516,-0.006371625137090333
hour_cos,0.0012851368216112665,-0.0026142349439923435,,0.023776140439748142,-0.046860943317910256,-0.33054895736847384,0.3596945937107774,-0.14865423242103212,-0.18260914376662282,-0.13334562513510947,0.17259870920259365,0.32878717798171553,-0.03210063868493196,-0.018395895047605935,-0.10256913693088185,-0.0046959887792945324,0.0012664313391431393,-0.002876266715335751,0.0003854457205474327,1.0,0.001256901879822635,0.0038489827271591544,0.003327629532581599,0.0013762901953659498,-0.004601419125573095,0.00016242248513892682,-0.048449034836444686,0.040462259737245675,0.05445851938641185,0.06479628102815103,0.022717621323517442,-0.018278379075795763,0.011429006734258684,0.04025543459435395,-0.05041187194362397,0.056150538151205714,-0.03485477769020863,0.04786062204299583,0.015642736377707165,-0.0010464906436794355,0.010441232408407835,0.024406449173861183,-0.06705697587709342,0.0658761497145208,0.006205518817748714,-0.0043251056903005295,0.0041372824114637935
dayofyear_sin,-0.06885217327551467,-0.015067416085438535,,0.01981954435471418,0.052806073960626934,0.0642499933780576,-0.4191290774508913,0.18394572753499744,0.04453339556143196,0.0611161829500246,-0.07246237986084476,-0.17989759142689687,-0.04566472733694519,-0.0686848700645695,0.0009142978221995659,-0.0005900812078528721,-0.7533953001471387,-0.013914016541585623,-0.002371025704329747,0.001256901879822635,1.0,-0.11435808732558149,0.191247036201801,0.7617021102361294,-0.35324738088647883,-0.5376426690621884,-0.020638171639968932,0.020159255644424903,0.020478419027716074,0.020832993508118926,0.02755985049082453,0.052967287480343204,0.05313493963685096,0.053311056873080874,0.05492408652312523,0.021366219058956276,0.02442279086074765,0.023103932428470007,0.025326955327947643,0.025962077192541847,0.035200309052305236,0.05554014002352989,0.0293033673221082,0.05834503798221812,0.03378787851461018,0.06164671351857627,0.04673137402332278
dayofyear_cos,0.04413889040447301,0.09547781316394806,,0.46023337728643016,0.3508456967852908,-0.6650557994153601,-0.00048276932983561734,-0.22165359869189943,0.13381468413546488,0.30697864162801414,-0.09478612453421462,0.24887588394016075,0.04401738924449003,0.0891685134186148,-0.002435100421435653,-0.0168248669531699,0.17188461634045504,-0.0022819097284478215,0.0025758792301170666,0.0038489827271591544,-0.11435808732558149,1.0,0.6825458450073277,-0.3310042815706778,-0.6624517921930334,0.316806860813526,0.024548940281997885,0.4602652235472039,0.46032667640733005,0.46039155233803974,0.45624422520354724,0.3511804894915585,0.351486610193109,0.35181615403942923,0.35873490599296115,0.4757006579120908,0.19314682977699504,0.4897847997912106,0.2504861849900485,0.5050679075752551,0.3022588288196482,0.36704667246270406,0.15993497869065337,0.3831498718916636,0.2014610199901918,0.40313470231203835,0.23768918985912613
season_winter,0.0017156634029422994,0.05838595787144494,,0.3426971218454079,0.2217657723154525,-0.5903678235702495,0.09310539217603271,-0.08665219107598739,0.09122034504666479,0.15434857671406282,-0.08286629605701169,0.1298186404311175,-0.08216822927862896,-0.09677907091563584,-0.002127971302576686,-0.008266385833946649,-0.14951221679531648,-0.00688366818297795,0.0015427567635049307,0.003327629532581599,0.191247036201801,0.6825458450073277,1.0,-0.2984743488125843,-0.3618323190158733,-0.3382439550552482,-0.07391777714582956,0.3430276263988118,0.3433937035734415,0.3437181435591045,0.34256006720785676,0.22223946723753452,0.22271330564573477,0.22320127695469666,0.231458080471148,0.3549696127649588,0.1139470952258275,0.366167500251566,0.15063892680205757,0.37831544260829136,0.18975539162402638,0.23272651397275643,0.04787589299192789,0.24398984208449426,0.06477459544904264,0.2582169352501209,0.08731507554060212
season_summer,-0.05502960174827173,-0.03536668730606875,,-0.11498121627441384,-0.04968497430061298,0.3410210225433914,-0.483550978189076,0.17263180858709815,-0.008979739946323412,0.04158067794524207,0.003718306947665476,-0.19627032905206152,0.01887979764487538,0.010469738145611727,0.0003367893967426789,0.015082146099784074,-0.47524065753000005,-0.004255363953728807,-0.0006216541808337976,0.0013762901953659498,0.7617021102361294,-0.3310042815706778,-0.2984743488125843,1.0,-0.3253653562732998,-0.3041543255261702,0.037871015434958515,-0.11481810042603723,-0.1146994248222951,-0.1145342102625102,-0.10841184591949982,-0.04965869662796506,-0.04961962410254436,-0.04959154922421652,-0.04865776459305722,-0.1184200192128468,-0.013068021762257168,-0.121433281431605,-0.02686867391956115,-0.12373144506381512,-0.033634245622659605,-0.05175379312899198,0.007666357661591239,-0.05361590641703165,0.007755145141374463,-0.05590845912456387,0.012869662826265055
season_monsoon,0.0032676366372965367,-0.06829588095786938,,-0.36330900408407363,-0.2950672860695826,0.341161224539443,0.3654400367109108,0.10498941278571164,-0.1269775917446627,-0.3248240543496838,0.09841999644471018,-0.09581598131137518,-0.10623733564303646,-0.15415066293061164,0.004692088524119528,0.0010297019198225944,0.08314189687087835,-0.003995128066290549,-0.004449862792437855,-0.004601419125573095,-0.35324738088647883,-0.6624517921930334,-0.3618323190158733,-0.3253653562732998,1.0,-0.3687179999945189,-0.09336742316051912,-0.36334667500469486,-0.36338141495845283,-0.3634695052246645,-0.3612572811305856,-0.2951978198999872,-0.2953033289393573,-0.2954530470066824,-0.2977511359882466,-0.37554603035659956,-0.1892846970411582,-0.38666317772259895,-0.2355215119641653,-0.3990346125515016,-0.2778384665025182,-0.30833814187756886,-0.17697626311451703,-0.32150292632502697,-0.2187549750490686,-0.3371318057162066,-0.25560164904275595
season_post_monsoon,0.04640947802460953,0.04569327207084961,,0.14282629245567746,0.13115496155330844,-0.08606609038482407,-0.016858568055028673,-0.18395240023249967,0.04901300017333607,0.14326413197065374,-0.02290828424846309,0.1538371772184669,0.1733352505425994,0.24510413136764814,-0.003047062544860631,-0.006981824870384178,0.5069443648132752,0.014921939026351952,0.0036434642600602692,0.00016242248513892682,-0.5376426690621884,0.316806860813526,-0.3382439550552482,-0.3041543255261702,-0.3687179999945189,1.0,0.13411888914988326,0.1423851203028261,0.14194725579414397,0.14156213975730453,0.1346999509186675,0.13079573401565683,0.13039857991874196,0.1300433170852139,0.1233602131735775,0.14650802582622863,0.09459591990067065,0.1497010650022733,0.11885157142943184,0.15257777878809886,0.1300801741976617,0.13592112640365095,0.1279601147214561,0.1400847197160611,0.15423286841645004,0.1442566114234688,0.16512688625688487
upwind_fire_transport_index,0.12982755185845843,-0.051271753058865006,,0.009510367282014272,-0.032671514878157844,0.03813457762062318,-0.16411387318634715,0.10833061687254256,0.09012498981894515,0.09921191972299558,-0.076933788629793,-0.09714851013243328,0.927515259393544,0.690021037435317,-0.019276611579118554,0.025105067475233517,0.052642648832046605,0.028819551446067775,0.04785708716444825,-0.048449034836444686,-0.020638171639968932,0.024548940281997885,-0.07391777714582956,0.037871015434958515,-0.09336742316051912,0.13411888914988326,1.0,0.0091279746281347,0.009510987329004468,0.009694247554285445,0.00876187148301001,-0.03369098183421218,-0.03355655546973293,-0.03307884316578289,-0.030775864145552233,0.009909844963541322,0.0210433089567979,0.011588318215124743,0.019579140904553715,0.01703844274156177,0.02361068995715863,-0.03416848004473031,-0.028745618106837685,-0.032781754535231244,-0.032125194053247236,-0.030510703487569367,-0.03426526182342577
pm25_lag_1,0.08108352463515917,0.2936287209652112,,0.9680885957129097,0.45676278511374846,-0.33451893184417525,-0.06324995620526432,-0.16540030991485324,0.08809208195362705,0.17332450330228336,-0.061852704614125474,0.18198693233003985,0.02582362892948916,0.04985683356650855,0.04630663382600526,-0.017970537145162398,0.07691236190801963,-0.007537621732679409,-0.05875025501643145,0.040462259737245675,0.020159255644424903,0.4602652235472039,0.3430276263988118,-0.11481810042603723,-0.36334667500469486,0.1423851203028261,0.0091279746281347,1.0,0.9679720836173052,0.9335121750150956,0.7746446738259353,0.47245095528834535,0.47994503254497534,0.4819407451077515,0.4247873398123286,0.9712996840899037,0.46913938767537683,0.9260039289819989,0.5543548301780665,0.8911358045270755,0.6125264593498975,0.4937914254303769,0.22676576720885308,0.4927094108262985,0.3063833454049863,0.48686976327186127,0.34014605488420063
pm25_lag_2,0.08094283591767888,0.2935036043295553,,0.9336873719841154,0.4413940877665773,-0.3318936840992163,-0.06565975056321255,-0.16353653961539721,0.08772920645435382,0.17103387055017993,-0.06152308741602497,0.1712199312367848,0.025887431299302308,0.049296236681685784,0.044418862795313395,-0.017324690308638847,0.0763061885648744,-0.0074919563664957185,-0.046371031711758826,0.05445851938641185,0.020478419027716074,0.46032667640733005,0.3433937035734415,-0.1146994248222951,-0.36338141495845283,0.14194725579414397,0.009510987329004468,0.9679720836173052,1.0,0.9679211344003443,0.7684772821939929,0.4568259924465357,0.47251321838297405,0.4799948212613487,0.4152235919185055,0.9821473976827734,0.46272501406835925,0.9401294779950925,0.5561844066007742,0.8979167172362547,0.6166035277619456,0.4889002753811764,0.2157810752757931,0.4949646433378519,0.3001283445742176,0.48789065682033683,0.3398397610211451
